,Number Particles,Inertia,Cognition,Social,Max Velocity,Iteration,Avg X Position,Avg Y Position,Avg Fitness,% Within Error,Best X Position,Best Y Position,Best Fitness,Error
25378,30,0.9,2.5,2.5,10,2000.0,19.41606,6.15773,90.99736,3.33333,19.98493,6.98509,99.97001999999999,5.73919
25379,100,0.5,0.5,0.5,2,66.0,20.00084,7.00018,99.9885,99.0,20.0,7.0,100.0,0.024
25380,70,0.4,0.2,4.0,2,2000.0,19.96893,6.983439999999999,98.18717,2.8571400000000002,20.00048,6.99971,99.99920999999999,0.98019
25381,1000,0.9,2.5,4.0,5,2000.0,20.004360000000002,6.924760000000001,95.29831,0.1,20.0,7.0,100.0,2.8345
25382,1000,0.7,2.5,4.0,1,2000.0,19.992060000000002,7.01705,99.14036,10.6,19.99955,7.00007,99.99936,0.50522
25383,30,0.3,2.5,0.5,10,2000.0,21.15735,7.24091,94.28941999999999,0.0,20.0,7.0,100.0,3.2881400000000003
25384,1000,0.9,0.5,3.0,10,2000.0,19.64645,7.38963,88.77293,0.4,20.00245,6.99834,99.99580999999999,6.73349
25385,1000,0.1,2.5,1.0,10,347.0,19.99689,7.0002,99.9802,98.3,20.0,7.0,100.0,0.07433
25386,30,0.1,3.5,3.0,50,2000.0,17.58461,10.39714,63.43525,0.0,19.94829,7.17513,99.74176,18.91084
25387,200,0.8,1.0,4.0,1,2000.0,20.016170000000002,6.97348,99.05083,9.5,19.99962,7.00064,99.99895,0.54647
25388,2,0.4,2.0,4.0,10,2000.0,18.46385,8.928189999999999,94.84724,0.0,19.96624,6.97986,99.9444,3.10832
25389,10,0.7,1.0,5.0,50,2000.0,19.052629999999997,12.47415,58.638119999999994,0.0,20.01211,7.0513,99.92546,22.16071
25390,2,1.0,2.0,5.0,50,2000.0,17.86222,-14.11894,51.03622,0.0,19.01729,6.89953,98.60299,25.16776
25391,5,0.2,1.0,2.0,1,124.0,20.00078,7.054360000000001,99.9183,80.0,20.00036,6.996389999999999,99.99486999999999,0.07808
25392,30,0.5,1.0,2.0,2,256.0,19.98015,6.9962800000000005,99.9446,96.66666,20.0,7.0,100.0,0.05397999999999999
25393,100,0.2,2.5,0.2,5,53.0,19.96596,6.98758,99.91284,96.0,20.00094,6.99987,99.99865,0.08596000000000001
25394,5,0.6,0.2,2.5,2,2000.0,20.51478,6.51811,98.48725999999999,20.0,19.99961,7.000789999999999,99.99876,0.94615
25395,200,0.5,2.0,0.2,2,143.0,19.99544,6.990419999999999,99.93972,93.5,20.0,7.0,100.0,0.0923
25396,70,0.3,5.0,2.5,50,2000.0,22.73444,3.8368900000000004,64.886,0.0,19.9572,6.99125,99.93822,20.04363
25397,10,0.6,3.5,4.0,10,2000.0,19.44774,5.01553,92.29916,0.0,19.99399,6.99834,99.99118,4.12378
25398,100,0.9,2.0,2.0,10,2000.0,21.01995,5.8133,88.72729,0.0,20.000320000000002,7.00938,99.98673000000001,7.35014
25399,200,0.1,4.0,3.0,50,2000.0,19.95093,5.9413599999999995,64.56338000000001,0.5,20.0,7.0,100.0,18.63021
25400,2,0.9,3.5,3.0,50,2000.0,17.94343,-8.707889999999999,46.08102,0.0,19.683410000000002,6.57083,99.24579,27.46255
